prodotto;giacenza_magazzino;giacenza_shop;totale_unificato;scorta_minima;pubblicato_shop;tipo;note
"Ago 1RL MT - 0,30 - Box 20 pz";56;22;78;100;si;semplice;stock su entrambe
"Box Anellini 30 Pz";60;32;92;;si;bundle;stock su entrambe
"Pelle sintetica trico 1pz";10;29;39;20;si;semplice;stock su entrambe
"18 Punte U - Box 20pz";0;154;154;30;si;semplice;
"4S Lame Punte Sfumature - Box 20pz";0;122;122;30;si;semplice;
"A+B Peeling 60ml";0;5;5;2;si;semplice;
"Aftercare bustina";200;0;200;50;no;componente;
"Aftercare post trattamento vit A+D 25pz";0;186;186;;si;bundle;
"Ago 1RL LT - 0,25 - Box 20 pz";0;136;136;100;si;semplice;
"Ago 1RL LT-T 0.25 - Box 20 pz";0;561;561;50;si;semplice;
"Ago 1RL LT-T 0.30 - Box 20 pz";0;621;621;50;si;semplice;
"Ago 1RL MT - 0,30 - ago singolo";80;0;80;;no;semplice;
"Ago 1RL MT-T 0.25 - Box 20 pz";0;225;225;50;si;semplice;
"Ago 1RL MT-T 0.30";0;355;355;50;si;semplice;
"Ago 3 Nano slope Universale - 0,25 - Box 20 pz";0;1;1;5;si;semplice;
"Ago 36 punte Universale - Needling - Box 10 pz";0;243;243;50;si;semplice;
"Ago 3RL LT - 0,25 - Box 20 pz";0;355;355;50;si;semplice;
"Ago 3RL LT-T 0.30 - Box 20 pz";0;170;170;50;si;semplice;
"Ago 5 flat universale 0.35 - Box 20 pz";0;4;4;0;si;semplice;
"Ago 7 Magnum LT-T 0.35 - Box 20pz";0;223;223;50;si;semplice;
"Ago Nano - Needling - Box 10 pz";0;52;52;50;si;semplice;
"Anelli porta inchiostro";0;983;983;;no;componente;
"Anello Supporto Cellulare";0;19;19;10;si;semplice;
"Arizona";0;242;242;100;si;semplice;
"Batteria horus argento";0;4;4;;si;semplice;
"Bicchierino in vetro Henne";0;20;20;5;si;semplice;
"Bigodini Laminazione Ciglia 5 Coppie";0;27;27;5;si;semplice;
"Bigodini per ciglia inferiori con petali - 2pz";0;43;43;5;si;semplice;
"Blush";0;120;120;70;si;semplice;
"Bordeaux";0;33;33;20;si;semplice;
"Brow Wow! | Gel Sopracciglia - Espositore 10pz";0;2;2;2;si;semplice;
"Burro dermatologico 125ml";0;10;10;2;si;semplice;
"Buste protettive per Squeezer Tattoo";0;57;57;10;si;semplice;
"Calibro nero - 1pz";0;109;109;50;si;semplice;
"Cherry Lips";0;186;186;25;si;semplice;
"Colla Laminazione Ciglia";0;5;5;2;si;semplice;
"Consulenza Bianca";20;NULL;20;;si;semplice;valore nullo
"Consulenza Rossa";20;NULL;20;;si;semplice;valore nullo
"Copri clip box da 125 pz";0;199;199;50;si;semplice;
"Coralin";0;62;62;25;si;semplice;
"Custodia Magnetica Professionale per Pinzette Extension Ciglia - Design Glitterato";0;100;100;20;si;semplice;
"Dalia";0;77;77;25;si;semplice;
"Dark Cherry";0;241;241;25;si;semplice;
"Deep black";0;192;192;100;si;semplice;
"Dermografo Horus Elitederma";0;6;6;10;si;semplice;
"Dermografo Tekna Elitederma";0;270;270;;si;bundle;
"Diluente";0;27;27;15;si;semplice;
"Emulsione Levigante";0;13;13;2;si;semplice;
"Excellentia Siero ricrescita Ciglia - Espositore 10pz";0;1;1;2;si;semplice;
"Extension Box - 0.12 CC MIX 7-13 mm";0;99;99;50;si;semplice;
"Extension Box ""Exelash"" - 0.07 C 11 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 C 12 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 C 13 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 C 8 mm";0;19;19;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 C 9 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D 10 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D 11 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D 12 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D 13 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D 9 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash"" - 0.07 D MIX 7-13 mm";0;100;100;10;si;semplice;
"Extension Box ""Exelash""- 0.07 C 10 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash""- 0.07 C 7 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash""- 0.07 C MIX 7-13 mm";0;100;100;10;si;semplice;
"Extension Box ""Exelash""- 0.07 D 7 mm";0;20;20;10;si;semplice;
"Extension Box ""Exelash""- 0.07 D 8 mm";0;20;20;10;si;semplice;
"Filo Mapping Bianco";0;203;203;50;si;semplice;
"Filo Mapping nero";0;236;236;50;si;semplice;
"Flamingo";0;40;40;;si;semplice;
"Forbicina";0;21;21;20;si;semplice;
"Formina per sopracciglia - 1pz";0;47;47;40;si;semplice;
"Freeze One";0;10;10;2;si;semplice;
"Glucan-Age Cream 50ml";0;9;9;2;si;semplice;
"Grip Wrap nero - 1 pezzo";0;47;47;50;si;semplice;
"Grip Wrap nero - 6 pezzi";0;77;77;;si;semplice;
"Guanti in nitrile pacco da 100 pz";0;11;11;5;si;semplice;
"Hydrafill - Idratazione e comfort giornaliero- Espositore 10pz";0;2;2;2;si;semplice;
"Ivory";0;32;32;15;si;semplice;
"KBrow Tinta Castano Scuro Sopracciglia";0;13;13;2;si;semplice;
"Khaki";0;55;55;30;si;semplice;
"Kit 3 colori tecnici";0;55;55;;si;semplice;
"Kit Disegno preparatorio";0;51;51;;si;semplice;
"Kit henne business";0;2;2;;si;semplice;non attivo
"Kit Sopracciglia Completo 5 Colori";0;240;240;;si;semplice;
"Lame special cut - 10 pz";0;56;56;50;si;semplice;
"Lashpad per Extencion Ciglia";0;20;20;5;si;semplice;
"Lente Macro";0;45;45;10;si;semplice;
"Light Brown Scalp";0;77;77;15;si;semplice;
"Manipolo autoclavabile";0;13;13;50;si;semplice;
"Manipolo d'oro da massaggio viso";0;99;99;20;si;semplice;
"Manuale Tekna";113;0;113;20;no;componente;
"Mascara Kerafill Daily Care - Espositore 10pz";0;2;2;2;si;semplice;
"Matita bianca - media durezza";0;51;51;50;si;semplice;
"Matita marrone - media durezza";0;79;79;30;si;semplice;
"Matita morbida - bianca";0;400;400;50;si;semplice;
"Matita nera - media durezza";0;247;247;100;si;semplice;
"Matita rossa - media durezza";0;97;97;50;si;semplice;
"Matita rossa - morbida";0;86;86;50;si;semplice;
"Medical soap 500ml";0;16;16;3;si;semplice;
"Micro pennello per sopracciglia con coperchio - 6pz";0;7;7;5;si;semplice;
"Microbrush Ultrafine";0;36;36;30;si;semplice;
"Mini Ring Light per cellulare";0;12;12;5;si;semplice;
"Mix 3 colori Eyebrows & 3 colori Lips";0;82;82;;si;semplice;
"Mixer per pigmenti con 5 punte";0;30;30;20;si;semplice;
"N1 Wave Lifting | Permanente Lash & Brow";0;26;26;5;si;semplice;
"N2 Fixa | Ossidante Ciglia e Sopracciglia";0;26;26;2;si;semplice;
"N3 Hydra Finish | Sigillante Lucido Ciglia";0;46;46;2;si;semplice;
"Nairobi";0;240;240;50;si;semplice;
"Nastro adesivo in TNT per extension ciglia";0;14;14;5;si;semplice;
"Natural Black Scalp";0;73;73;15;si;semplice;
"Nevada";0;309;309;100;si;semplice;
"Ninfea";0;42;42;25;si;semplice;
"Olio detergente Vit.F 500 ml";0;13;13;2;si;semplice;
"Orange";0;82;82;30;si;semplice;
"Ossigeno Laminazione Ciglia";0;14;14;2;si;semplice;
"Ossigeno Sopracciglia";0;18;18;2;si;semplice;
"Pasta Bianca Elitederma";0;200;200;30;si;semplice;
"Patch laminazione e extension - 6pz";0;3;3;5;si;semplice;
"Pelle sintetica 1pz";0;296;296;250;si;semplice;
"Pelle sintetica premium selection 3 pz";0;98;98;;si;semplice;
"Pellicola per laminazione - 1pz";0;19;19;5;si;semplice;
"Penna Gel Bianca";0;104;104;100;si;semplice;
"Penna Gel Nera";0;117;117;100;si;semplice;
"Penna Gel Rossa";0;72;72;;si;semplice;
"Pennello detersione ciglia per extension";0;20;20;5;si;semplice;
"Pennello per laminazione";0;32;32;5;si;semplice;
"Pettinino per laminazione";0;48;48;10;si;semplice;
"Pietra di Giada per colla extension ciglia";0;15;15;5;si;semplice;
"Pink Orange";0;82;82;25;si;semplice;
"Pinza Curva One to One";0;50;50;20;si;semplice;
"Pinza dritta da separazione";0;49;49;25;si;semplice;
"Pinza obliqua da separazione";0;50;50;20;si;semplice;
"Pinza Royal Volume";0;50;50;20;si;semplice;
"Pinzetta epilazione";0;7;7;20;si;semplice;
